node,year_construction,capacity_existing
AT,1925.0,0.06902013062539142
AT,1940.0,0.05751677552115952
AT,1943.0,0.46059433837344543
AT,1949.0,0.48084024335689357
AT,1952.0,0.0096628182875548
AT,1953.0,1.2492643643195849
AT,1956.0,0.144942274313322
AT,1960.0,0.6556912409412184
AT,1962.0,0.1564456294175539
AT,1965.0,0.02300671020846381
AT,1970.0,1.6334764248009301
AT,1978.0,0.14034093227162922
AT,1982.0,0.06211811756285228
BE,1965.0,0.01273566879
BG,1959.0,0.17851666666666668
BG,1963.0,0.14545802469135802
BG,1964.0,0.1507474074074074
BG,1974.0,0.8132425925925926
BG,1975.0,0.21157530864197532
CH,1925.0,0.010900495777031855
CH,1932.0,0.04883422108110271
CH,1947.0,0.06540297466219112
CH,1948.0,0.06540297466219112
CH,1950.0,0.0017658803158791608
CH,1953.0,0.12971589974667908
CH,1954.0,0.026052184907106132
CH,1955.0,0.12426565185816316
CH,1957.0,0.33944143849677194
CH,1958.0,0.37388700515219264
CH,1960.0,0.4440861979562778
CH,1961.0,0.27970672163863747
CH,1962.0,0.5098161874917799
CH,1964.0,0.41094869079410096
CH,1965.0,0.3460907409207614
CH,1966.0,0.1722278332771033
CH,1967.0,0.019806200826866883
CH,1970.0,0.3836974513515213
CH,1971.0,0.0757584456503714
CH,1973.0,0.0675830738175975
CH,1974.0,0.14868276239871447
CH,1975.0,0.09712341737335384
CH,1976.0,0.04796218141894016
CH,1978.0,0.567370805194508
CH,1980.0,0.4995697214613699
CH,1982.0,0.01798581803210256
CH,1984.0,0.05615935424326812
CH,1988.0,0.030521388175689196
CH,1990.0,0.10574570953298602
CH,1991.0,0.011587227010984861
CH,1992.0,0.48779718602217553
CH,1994.0,0.1504268417230396
CH,1996.0,0.0014170644510141412
CH,1997.0,0.09810446199328669
CH,1998.0,0.039241784797314674
CH,1999.0,1.4966380701864737
CH,2003.0,0.05450247888515928
CH,2004.0,0.13483913276188406
CH,2005.0,0.03215646254224397
CH,2006.0,0.03662566581082704
CH,2007.0,0.8172101684040782
CH,2011.0,0.31066412964540785
CH,2012.0,0.07630347043922299
CH,2013.0,0.013080594932438227
CH,2014.0,0.056682578040565645
CH,2016.0,0.007630347043922299
CH,2017.0,0.23981090709470082
