time,AT,BE,BG,CH,CZ,DE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LV,NO,PT,RO,SE,SI,SK
0,0.160329031,0.174582377,0.100545004,0.0995608,0.073382181,0.220427633,0.027902881,0.073150753,0.676416238,0.102404498,0.104401133,0.296135979,1.246037801,0.131915955,0.219117543,0.092477716,0.726843028,0.098400856,0.175170144,0.625409212,0.207668372,0.276049973
1,0.159668138,0.17519605,0.095572617,0.103502887,0.072936199,0.220788051,0.027902881,0.073845482,0.674260342,0.100846098,0.104832489,0.296994013,1.244284188,0.131821499,0.19819808,0.084360624,0.725323448,0.100570595,0.170474319,0.624869753,0.209317737,0.227042334
2,0.161363831,0.177040374,0.093132279,0.105612204,0.071129877,0.226798146,0.027910633,0.06671962,0.671262203,0.10338826,0.105528524,0.380598546,1.242356725,0.131245032,0.162256639,0.076593845,0.724918815,0.113287567,0.169418319,0.624852167,0.211951182,0.186300196
3,0.16351911,0.176534769,0.092127969,0.106364148,0.072029689,0.247390068,0.027712206,0.070373225,0.66990618,0.114095269,0.105785219,0.39649401,1.242581435,0.131617638,0.140617496,0.074196131,0.728089303,0.098761917,0.175946044,0.624490172,0.211519902,0.164478898
4,0.164631048,0.17763181,0.092040374,0.102886964,0.0710645,0.294513807,0.027902881,0.088964968,0.669761077,0.108879095,0.104659185,0.398200549,1.245803593,0.132453349,0.142422944,0.072105757,0.735431915,0.090661515,0.177947606,0.6247584,0.208623919,0.149015439
5,0.16664074,0.176959408,0.091396931,0.09481392,0.071615468,0.36746738,0.027710518,0.090984379,0.669655538,0.107191029,0.104668618,0.377766624,1.249792923,0.131136481,0.14233946,0.068480826,0.738370981,0.106169218,0.177622587,0.62462758,0.207254178,0.146610127
6,0.167686046,0.175653852,0.091013693,0.090113272,0.072321336,0.413747445,0.027710518,0.099274926,0.669744219,0.099012522,0.104513323,0.353056903,1.254865912,0.131128995,0.149081009,0.064223114,0.739767128,0.118002164,0.180106977,0.62467581,0.206659755,0.1455093
7,0.165228568,0.176454755,0.091249864,0.0888583,0.073401394,0.265121478,0.027893097,0.120913304,0.668939524,0.095839984,0.105155053,0.370442754,1.257127523,0.139131685,0.148527196,0.066226271,0.733917491,0.254773509,0.186899452,0.624538576,0.210439257,0.159193359
8,0.165155018,0.175762933,0.090929915,0.086778699,0.072224948,0.244137922,0.027710518,0.128833245,0.667794778,0.096559505,0.139599775,0.423226322,1.260607083,0.14729848,0.150658376,0.072134842,0.734245261,0.333127734,0.184952327,0.624443441,0.340749754,0.152921188
9,0.164850701,0.176141028,0.090951989,0.086087333,0.071899548,0.23529985,0.027710518,0.185000463,0.667501137,0.098107953,0.150103451,0.364364434,1.259019921,0.161263138,0.140941474,0.07671576,0.731882322,0.296148095,0.186188451,0.62423232,0.380962435,0.170317432
10,0.165089722,0.176840681,0.091044953,0.086979299,0.071085222,0.237060155,0.027753236,0.234034599,0.667280351,0.095465368,0.144179791,0.249694173,1.257983493,0.134522878,0.139448983,0.083686421,0.728163947,0.469030796,0.187521914,0.624197003,0.35825759,0.164439126
11,0.167514119,0.176804821,0.091547595,0.092304195,0.072170852,0.252537848,0.027811703,0.302296374,0.667415989,0.105268738,0.131111568,0.368949346,1.258019254,0.132942783,0.15219257,0.09817437,0.724039367,1.313922537,0.17804762,0.623966948,0.308700035,0.167760236
12,0.16586449,0.176807406,0.092180671,0.093231161,0.072079194,0.24516157,0.027829388,0.659224485,0.667522534,0.123579925,0.113127005,0.249208424,1.267256882,0.13362847,0.158078138,0.093773083,0.719684167,2.596666908,0.167523141,0.62339189,0.242700173,0.149497407
13,0.163750564,0.176862214,0.092460148,0.093768052,0.072330804,0.251053045,0.027791318,0.789573114,0.667505339,0.127733745,0.105565359,0.176246369,1.288832387,0.157847989,0.163617849,0.097851548,0.716751714,4.835896814,0.158332775,0.622819335,0.213383023,0.145712963
14,0.160609461,0.176862214,0.092461431,0.090517289,0.071487075,0.237203891,0.027802198,0.807126924,0.668362743,0.129445649,0.106276226,0.202529376,1.267813226,0.155537836,0.14697177,0.089058626,0.71490693,4.835540935,0.159035725,0.622345716,0.20917934,0.148275766
15,0.154716243,0.176862214,0.092647816,0.085418189,0.071385907,0.219969537,0.027767495,0.732443772,0.669358964,0.137522732,0.104487432,0.18888897,1.266574957,0.136293634,0.126541182,0.084663941,0.71356089,3.624843993,0.16720804,0.622012854,0.206002804,0.152404956
16,0.154494866,0.177750512,0.092661895,0.084539494,0.071333019,0.218417697,0.027877409,0.613983335,0.67082408,0.165837431,0.104477749,0.180179907,1.26421729,0.135078299,0.118093785,0.081419748,0.71209796,2.731120034,0.164976381,0.622076177,0.20615724,0.194723241
17,0.154657472,0.176989802,0.091805414,0.084546417,0.071284997,0.218806792,0.028178142,0.397681058,0.671761621,0.147888166,0.104118231,0.210180084,1.258928748,0.134255341,0.112662765,0.076318796,0.710930393,0.285917735,0.168661161,0.622119958,0.206892128,0.1916233
18,0.154910313,0.176989802,0.09131497,0.084473507,0.07130553,0.218874056,0.028285174,0.357350489,0.671830279,0.158159726,0.103898963,0.228074448,1.256166957,0.13303328,0.115301492,0.067872321,0.709864398,0.24820507,0.177021208,0.622191815,0.209482539,0.204707532
19,0.15530936,0.178496857,0.091684901,0.084447484,0.071689622,0.219293247,0.029743973,0.360613469,0.673267849,0.160095842,0.104714258,0.237157087,1.254932426,0.130165858,0.11463706,0.071663478,0.709203135,0.154570011,0.189609868,0.622108523,0.205996384,0.207357192
20,0.155517254,0.179308748,0.091468792,0.08444161,0.071641703,0.219128796,0.031015394,0.496254143,0.674430427,0.17361725,0.104703417,0.246055811,1.258898201,0.129855615,0.122833325,0.07883234,0.708603628,0.172975813,0.183237605,0.621595271,0.206361024,0.182161573
21,0.156372921,0.179642756,0.09116088,0.084402404,0.071894809,0.218825249,0.03409451,0.565340713,0.675546452,0.226464693,0.104543198,0.296741724,1.239834113,0.131464426,0.134949255,0.077829409,0.707821306,0.287241542,0.179066498,0.621220113,0.205670513,0.168664214
22,0.154820779,0.18172682,0.090752103,0.0844606,0.071638948,0.218543736,0.037262418,0.479247955,0.67678416,0.306744228,0.104517042,0.355645255,1.223016993,0.131945186,0.150834917,0.067985548,0.706990794,0.218194406,0.175972635,0.621253921,0.205698007,0.161089996
23,0.153853794,0.183641589,0.090752655,0.084332478,0.072957922,0.218484381,0.038893718,0.43102006,0.678358153,0.34043177,0.104484926,0.466251404,1.21750644,0.131645515,0.14623383,0.061315828,0.70610766,0.265334001,0.174068046,0.620881458,0.20981164,0.158658424
24,0.153718895,0.192797824,0.090565617,0.084344879,0.074101077,0.218359648,0.039639588,0.454574605,0.674750972,0.347768903,0.104214432,0.510173969,1.214184774,0.131203442,0.134892868,0.05911119,0.705490341,0.41044421,0.180506974,0.620734384,0.205225579,0.16273748
25,0.153687415,0.203479088,0.090609452,0.085287783,0.093578209,0.218314717,0.039848193,0.465949267,0.672186045,0.405777383,0.104206525,0.563666534,1.217492688,0.131906278,0.117727454,0.060694265,0.704907953,0.277413664,0.172085269,0.620880846,0.205095375,0.158138254
26,0.153579842,0.20950714,0.09070586,0.097440625,0.074192941,0.218764218,0.036882527,0.26526215,0.670974376,0.489465188,0.104212039,0.639754442,1.216876799,0.133382521,0.119235893,0.063483927,0.70407656,0.248230914,0.175644269,0.620834177,0.205096011,0.180186209
27,0.153430898,0.219719908,0.091114941,0.090281582,0.073434412,0.218864381,0.031932551,0.19570532,0.670965206,0.501575246,0.104153309,0.62921413,1.274728766,0.136057035,0.115922368,0.064827885,0.703166947,0.26000763,0.172247321,0.621033994,0.20493832,0.169003375
28,0.15345658,0.214803342,0.092027925,0.089374754,0.075201365,0.218606777,0.029825748,0.206005931,0.671721496,0.493775443,0.103822803,0.612037975,1.222380074,0.140128992,0.117034333,0.066073153,0.701979558,0.313457991,0.166741038,0.621133365,0.204982371,0.218542611
29,0.153416191,0.245157778,0.092107632,0.094706477,0.076198941,0.21895059,0.028953072,0.251229696,0.672536939,0.513281734,0.104275754,0.702673744,1.224623589,0.142921601,0.12373382,0.065285137,0.701078136,0.245716722,0.164743608,0.620859197,0.204979441,0.241084581
30,0.153371765,0.265991992,0.091937649,0.099184305,0.078689436,0.219668575,0.028416327,0.207906689,0.674042081,0.539512303,0.10461744,0.919357698,1.23849132,0.147983742,0.124357276,0.064026277,0.69991817,0.234106037,0.16523118,0.619961529,0.204975728,0.209874635
31,0.153541776,0.33840697,0.091702641,0.108087404,0.080753395,0.218900513,0.028310952,0.241905256,0.676785951,0.6180235,0.111003292,0.905752208,1.268422368,0.152176433,0.121520665,0.064723489,0.699067847,0.180875684,0.16004871,0.61957599,0.210161413,0.165377564
32,0.15704954,0.306427759,0.093215645,0.133081801,0.079100564,0.219772484,0.028849265,0.179879158,0.677583133,0.653353452,0.153339515,1.110074092,1.258803466,0.156847499,0.121434791,0.066840151,0.698166724,0.117061261,0.167881546,0.619465137,0.342146174,0.159958405
33,0.15808211,0.213527431,0.09418529,0.159557619,0.076279817,0.219727833,0.031663456,0.197489915,0.676648659,0.699092335,0.164649462,1.282639635,1.258950691,0.159020924,0.142226025,0.067547997,0.697456064,0.12487507,0.17921225,0.619218236,0.378185097,0.157371063
34,0.157328804,0.187615132,0.097018978,0.186423486,0.074930859,0.221053609,0.040853473,0.188409729,0.674716849,0.67429546,0.167713984,1.27051493,1.290579245,0.167964857,0.16930042,0.070457294,0.696666813,0.121379737,0.173262854,0.618873124,0.345947973,0.158181591
35,0.155727006,0.182343575,0.099415904,0.192026429,0.074318174,0.227259961,0.046001586,0.170948455,0.673472135,0.607289685,0.188248894,0.872498012,1.328540138,0.178711069,0.141260787,0.068602117,0.695788119,0.123615751,0.179998086,0.618678901,0.282423003,0.15587953
36,0.15617612,0.184284956,0.099569786,0.175465657,0.074808441,0.234357261,0.045380047,0.163774812,0.671814688,0.486165916,0.20240575,0.338286529,1.250894004,0.182592542,0.164189802,0.07123184,0.695179062,0.136119234,0.176543224,0.618723402,0.21313865,0.171846952
37,0.156751851,0.180995926,0.099691151,0.152257428,0.074538208,0.235390435,0.038755375,0.153863309,0.672313477,0.388853765,0.234258224,0.319596826,1.216316832,0.182685214,0.142163469,0.068205092,0.695504776,0.13367877,0.182571595,0.618687874,0.207028467,0.164404197
38,0.1581578,0.182263966,0.098540352,0.137274584,0.074434191,0.232637428,0.03182006,0.141055069,0.671105596,0.338585478,0.266920517,0.394233127,1.207407495,0.193947105,0.111231728,0.070107276,0.695686082,0.119499272,0.175715257,0.618198825,0.208952818,0.137301125
39,0.158017244,0.180361539,0.096832996,0.126020372,0.080537311,0.229463783,0.027559079,0.137087406,0.671102764,0.293099803,0.316333452,0.317822667,1.209651215,0.180922477,0.106635216,0.06897934,0.695457597,0.121907781,0.168749165,0.618063335,0.214379456,0.14176424
40,0.160702581,0.179830987,0.095624653,0.112522278,0.086586076,0.225588912,0.02755179,0.087745367,0.670628912,0.224248262,0.366421091,0.365460083,1.199676041,0.182119912,0.112711372,0.068559264,0.696921939,0.107810314,0.179866806,0.618994342,0.219060703,0.154783407
41,0.159801304,0.180339406,0.095546643,0.104359452,0.091658428,0.234302549,0.026412703,0.078621677,0.669227742,0.162781663,0.399458088,0.360669545,1.192816705,0.19340396,0.113715077,0.068084053,0.698068338,0.09261042,0.196123201,0.61890221,0.215454785,0.15682073
42,0.160711181,0.18068209,0.094552795,0.094961626,0.092807737,0.239792513,0.026412703,0.098903643,0.669512905,0.14252969,0.443573764,0.320044992,1.190976317,0.229690622,0.113878361,0.05962031,0.695960699,0.091868029,0.20822785,0.61892451,0.208948652,0.146681365
43,0.167679884,0.184249818,0.093599095,0.091397715,0.102154649,0.241365039,0.027891483,0.100449161,0.668753311,0.145509957,0.474589135,0.269160175,1.190188981,0.209870146,0.113074193,0.05921192,0.693867147,0.094651466,0.218750268,0.617957182,0.205786291,0.15325551
44,0.164108966,0.189369231,0.093114466,0.100324022,0.091209171,0.242002667,0.027627167,0.09092299,0.668027124,0.16857602,0.538644764,0.205821321,1.190271926,0.222274343,0.111271401,0.058485449,0.691951662,0.099431382,0.208016104,0.617506572,0.205187738,0.179700189
45,0.162130355,0.198641995,0.094056889,0.104662582,0.090064316,0.24462433,0.028361991,0.085230782,0.66791872,0.182145541,0.466579164,0.185295746,1.186764885,0.217403738,0.109831919,0.058876176,0.690061374,0.094061879,0.19561342,0.617492384,0.205778348,0.199611589
46,0.16111521,0.225330108,0.096406198,0.105372066,0.08715997,0.25783008,0.028782596,0.08275709,0.66762921,0.229172353,0.533304469,0.182837015,1.184153929,0.239630826,0.109392616,0.060251539,0.687692898,0.119839369,0.190526814,0.617279051,0.206020198,0.210969251
47,0.159680848,0.272233002,0.100491877,0.108565846,0.086910414,0.264853482,0.035062521,0.083097715,0.668454943,0.15635754,0.515951479,0.357910961,1.185647896,0.231300573,0.113694749,0.073606345,0.686200422,0.126986369,0.186234714,0.617660253,0.206057225,0.252434839
48,0.161479954,0.290430368,0.099985941,0.09629175,0.082069001,0.269510005,0.033625431,0.094090147,0.667951309,0.139046888,0.545528158,0.436487233,1.182354969,0.215925134,0.10997692,0.083507725,0.685413653,0.143494076,0.182062873,0.616743958,0.205424605,0.275504099
49,0.159851851,0.286722847,0.098089454,0.094852312,0.08136706,0.270738782,0.040469373,0.1154645,0.667384671,0.127856161,0.599717367,0.575819809,1.184414647,0.225445033,0.11234219,0.207414751,0.684898401,0.181112729,0.180725719,0.615980394,0.204977743,0.378662797
50,0.161016882,0.254254629,0.097175986,0.092772559,0.079304916,0.271151902,0.054776837,0.109741649,0.667205083,0.116515041,0.56882095,1.011202451,1.210236138,0.249897359,0.113585988,0.240987562,0.684054745,0.157891109,0.181223909,0.615268116,0.204389618,0.419038934
