node,year_construction,capacity_existing
AT,1904.0,0.002
AT,1925.0,0.001
AT,1926.0,0.002
AT,1927.0,0.026
AT,1930.0,0.001
AT,1931.0,0.019
AT,1943.0,0.079
AT,1947.0,0.001
AT,1949.0,0.086
AT,1950.0,0.156
AT,1953.0,0.034
AT,1956.0,0.09
AT,1959.0,0.4735
AT,1960.0,0.028
AT,1961.0,0.096
AT,1962.0,0.126
AT,1963.0,0.001
AT,1964.0,0.5893999999999999
AT,1965.0,0.097
AT,1967.0,0.063
AT,1968.0,0.508
AT,1969.0,0.037
AT,1972.0,0.03
AT,1974.0,0.274
AT,1975.0,0.274
AT,1976.0,0.656
AT,1978.0,0.013
AT,1979.0,0.377
AT,1981.0,0.09
AT,1982.0,0.412
AT,1984.0,0.025
AT,1985.0,0.641
AT,1986.0,0.034
AT,1987.0,0.015
AT,1988.0,0.024
AT,1989.0,0.082
AT,1990.0,0.013
AT,1991.0,0.017
AT,1992.0,0.005
AT,1994.0,0.022
AT,1995.0,0.01
AT,1996.0,0.018
AT,1997.0,0.172
AT,1998.0,0.184
AT,2005.0,0.017
AT,2009.0,0.018
AT,2012.0,0.02
AT,2013.0,0.019
AT,2019.0,0.009
AT,2020.0,0.089
BE,1963.0,0.059015339743
BG,1963.0,0.0224
CH,1914.0,0.1044
CH,1915.0,0.0252
CH,1927.0,0.02066
CH,1929.0,0.011
CH,1932.0,0.00082
CH,1935.0,0.04392
CH,1937.0,0.00044
CH,1940.0,0.0016
CH,1941.0,0.00127
CH,1943.0,0.0598
CH,1944.0,0.0064800000000000005
CH,1945.0,0.022
CH,1946.0,0.01114
CH,1948.0,0.0008
CH,1949.0,0.02638
CH,1950.0,0.03415
CH,1951.0,0.0208
CH,1952.0,0.00058
CH,1953.0,0.03268
CH,1954.0,0.03375
CH,1955.0,0.03
CH,1956.0,0.01338
CH,1957.0,0.0046
CH,1958.0,0.13477
CH,1959.0,0.07359
CH,1960.0,0.03797
CH,1961.0,0.13022
CH,1962.0,0.04588
CH,1963.0,0.06345
CH,1964.0,0.13631000000000001
CH,1965.0,0.11739
CH,1966.0,0.09991999999999998
CH,1967.0,0.060090000000000005
CH,1968.0,0.06117
CH,1969.0,0.02289
CH,1970.0,0.02811
CH,1971.0,0.00213
CH,1972.0,0.03965
CH,1973.0,0.015130000000000001
CH,1974.0,0.14219
CH,1975.0,0.02
CH,1976.0,0.019899999999999998
CH,1977.0,0.007949999999999999
CH,1978.0,0.0078
CH,1979.0,0.02012
CH,1980.0,0.02093
CH,1981.0,0.005679999999999999
CH,1982.0,0.007999999999999998
CH,1983.0,0.16240000000000002
CH,1984.0,0.1216
CH,1985.0,0.0008
CH,1986.0,0.03248
CH,1987.0,0.022949999999999998
CH,1988.0,0.0426
CH,1989.0,0.08378000000000001
CH,1990.0,0.14377
CH,1991.0,0.038369999999999994
CH,1992.0,0.18600999999999998
CH,1993.0,0.05118000000000001
CH,1994.0,0.1206
