year,opex_specific_fixed
2022,114283.1621995775
2023,106263.2911680282
2024,98243.4201364789
2025,90223.54910492961
2026,88218.58134704229
2027,86213.61358915496
2028,84208.64583126763
2029,82203.6780733803
2030,80198.71031549298
2031,78193.74255760566
2032,76188.77479971833
2033,74183.80704183101
2034,72178.83928394369
2035,70173.87152605636
2036,68168.90376816904
2037,66163.93601028172
2038,64158.96825239439
2039,62154.00049450706
2040,60149.03273661974
2041,60149.03273661974
2042,60149.03273661974
2043,60149.03273661974
2044,60149.03273661974
2045,60149.03273661974
2046,60149.03273661974
2047,60149.03273661974
2048,60149.03273661974
2049,60149.03273661974
2050,60149.03273661974
