year,capex_specific_conversion
2022,7358231.671446482
2023,6877039.409553524
2024,6395847.1476605665
2025,5914654.885767608
2026,5694108.432400002
2027,5473561.979032396
2028,5253015.5256647905
2029,5032469.072297185
2030,4811922.618929579
2031,4741748.747403523
2032,4671574.875877466
2033,4601401.00435141
2034,4531227.132825353
2035,4461053.261299297
2036,4390879.38977324
2037,4320705.518247184
2038,4250531.646721128
2039,4180357.7751950715
2040,4110183.903669015
2041,4080109.387300705
2042,4050034.870932395
2043,4019960.3545640856
2044,3989885.8381957756
2045,3959811.3218274657
2046,3929736.8054591557
2047,3899662.289090846
2048,3869587.772722536
2049,3839513.2563542267
2050,3809438.7399859168
