year,opex_specific_fixed
2022,222551.42112549304
2023,208516.64682028175
2024,194481.87251507048
2025,180447.09820985922
2026,172427.22717830993
2027,164407.35614676063
2028,156387.48511521134
2029,148367.61408366202
2030,140347.74305211272
2031,138342.7752942254
2032,136337.80753633808
2033,134332.83977845075
2034,132327.87202056343
2035,130322.9042626761
2036,128317.93650478877
2037,126312.96874690145
2038,124308.00098901412
2039,122303.0332311268
2040,120298.06547323948
2041,119295.58159429581
2042,118293.09771535215
2043,117290.61383640849
2044,116288.12995746483
2045,115285.64607852117
2046,114283.1621995775
2047,113280.67832063384
2048,112278.19444169018
2049,111275.71056274652
2050,110273.22668380286
