year,capex_specific_conversion
2022,2115.5015311064803
2023,2109.2380739351984
2024,2102.9746167639173
2025,2096.7111595926353
2026,2091.17593030194
2027,2085.6407010112453
2028,2080.1054717205498
2029,2074.5702424298556
2030,2069.03501313916
2031,2062.713400463259
2032,2056.391787787358
2033,2050.070175111458
2034,2043.748562435557
2035,2037.426949759656
2036,2031.0261912036967
2037,2024.6254326477372
2038,2018.224674091777
2039,2011.8239155358174
2040,2005.423156979858
2041,2002.2003417207425
2042,1998.9775264616267
2043,1995.7547112025125
2044,1992.5318959433969
2045,1989.309080684281
2046,1972.4078754743193
2047,1955.5066702643578
2048,1938.605465054397
2049,1921.704259844435
2050,1904.8030546344737
