year,opex_specific_fixed
2022,54.70933020614214
2023,54.522222583193326
2024,54.335114960244525
2025,54.14800733729572
2026,53.98626542506382
2027,53.82452351283193
2028,53.66278160060002
2029,53.501039688368124
2030,53.33929777613623
2031,53.295270754545676
2032,53.25124373295514
2033,53.20721671136459
2034,53.16318968977406
2035,53.1191626681835
2036,53.0609078617715
2037,53.002653055359495
2038,52.944398248947486
2039,52.88614344253548
2040,52.827888636123475
2041,52.86320589519631
2042,52.89852315426914
2043,52.93384041334198
2044,52.969157672414816
2045,53.00447493148765
2046,52.584015302045046
2047,52.16355567260245
2048,51.74309604315985
2049,51.32263641371726
2050,50.90217678427466
