year,capex_specific_conversion
2022,3789389.0624070438
2023,3528743.2538816915
2024,3268097.445356339
2025,3007451.636830987
2026,2907203.2489366205
2027,2806954.8610422546
2028,2706706.473147888
2029,2606458.0852535223
2030,2506209.697359156
2031,2466110.3422014094
2032,2426010.987043663
2033,2385911.631885916
2034,2345812.2767281695
2035,2305712.921570423
2036,2265613.5664126766
2037,2225514.21125493
2038,2185414.8560971837
2039,2145315.500939437
2040,2105216.1457816907
2041,2095191.3069922542
2042,2085166.4682028177
2043,2075141.629413381
2044,2065116.7906239445
2045,2055091.951834508
2046,2045067.1130450713
2047,2035042.2742556345
2048,2025017.435466198
2049,2014992.5966767613
2050,2004967.7578873246
