year,capex_specific_conversion
2022,3963.086909821609
2023,3912.307146394568
2024,3861.5273829675275
2025,3810.747619540487
2026,3761.03197474652
2027,3711.3163299525536
2028,3661.6006851585857
2029,3611.88504036462
2030,3562.169395570653
2031,3536.150021566206
2032,3510.1306475617607
2033,3484.111273557315
2034,3458.09189955287
2035,3432.072525548424
2036,3402.13448425844
2037,3372.196442968457
2038,3342.2584016784735
2039,3312.32036038849
2040,3282.382319098506
2041,3264.9250085259696
2042,3247.467697953434
2043,3230.010387380897
2044,3212.5530768083613
2045,3195.0957662358246
2046,3162.7466563989406
2047,3130.3975465620565
2048,3098.048436725172
2049,3065.699326888288
2050,3033.350217051404
