year,opex_specific_fixed
2022,110.87494509593454
2023,108.77156221546902
2024,106.66817933500352
2025,104.56479645453801
2026,102.49447287403112
2027,100.42414929352424
2028,98.35382571301733
2029,96.28350213251046
2030,94.21317855200357
2031,93.05264366745388
2032,91.8921087829042
2033,90.73157389835451
2034,89.57103901380484
2035,88.41050412925514
2036,87.12484553005048
2037,85.83918693084581
2038,84.5535283316411
2039,83.26786973243644
2040,81.98221113323177
2041,81.24135981722158
2042,80.50050850121137
2043,79.75965718520118
2044,79.01880586919097
2045,78.27795455318078
2046,77.05588029739789
2047,75.83380604161498
2048,74.6117317858321
2049,73.38965753004919
2050,72.1675832742663
