year,opex_specific_variable
2022,1.0
2023,0.9909991439188847
2024,0.9819982878377671
2025,0.9729974317566505
2026,0.9605906674241262
2027,0.948183903091603
2028,0.9357771387590799
2029,0.9233703744265567
2030,0.9109636100940323
2031,0.9034109008939841
2032,0.8958581916939338
2033,0.8883054824938844
2034,0.8807527732938364
2035,0.8732000640937883
2036,0.8750920243344144
2037,0.876983984575044
2038,0.8788759448156714
2039,0.8807679050563
2040,0.8826598652969285
2041,0.9042783684568104
2042,0.925896871616689
2043,0.947515374776571
2044,0.9691338779364517
2045,0.9907523810963326
2046,1.04680580390711
2047,1.1028592267178887
2048,1.1589126495286663
2049,1.2149660723394426
2050,1.2710194951502214
