year,capex_specific_conversion
2022,1429.99928353338
2023,1427.1098701274445
2024,1424.2204567215088
2025,1421.331043315573
2026,1418.4416299096372
2027,1415.5522165037014
2028,1412.6628030977658
2029,1409.77338969183
2030,1406.8839762858943
2031,1403.025858509349
2032,1399.1677407328038
2033,1395.3096229562584
2034,1391.4515051797132
2035,1387.593387403168
2036,1383.7352696266228
2037,1379.8771518500776
2038,1376.0190340735323
2039,1372.1609162969871
2040,1368.302798520442
2041,1364.4530434623618
2042,1360.6032884042818
2043,1356.753533346202
2044,1352.9037782881219
2045,1349.0540232300418
2046,1345.2042681719618
2047,1341.354513113882
2048,1337.5047580558019
2049,1333.655002997722
2050,1329.805247939642
