year,opex_specific_variable
2022,1.0
2023,1.0059505033893432
2024,1.0119010067786869
2025,1.0178515101680303
2026,1.0238020135573735
2027,1.0297525169467172
2028,1.0357030203360604
2029,1.041653523725404
2030,1.0476040271147475
2031,1.0511856995369955
2032,1.0547673719592436
2033,1.0583490443814918
2034,1.06193071680374
2035,1.065512389225988
2036,1.069094061648236
2037,1.0726757340704842
2038,1.0762574064927324
2039,1.0798390789149805
2040,1.0834207513372287
2041,1.0870024237594766
2042,1.0905840961817248
2043,1.094165768603973
2044,1.0977474410262211
2045,1.101329113448469
2046,1.1049107858707172
2047,1.1084924582929654
2048,1.1120741307152135
2049,1.1156558031374615
2050,1.1192374755597099
