node,year_construction,capacity_existing
BE,1996.0,0.0552999999999999
BE,2015.0,0.0025
CH,2004.0,0.012
CH,2006.0,0.02
CZ,1998.0,0.0175
DE,1964.0,0.049
DE,1965.0,0.02
DE,1969.0,0.0116
DE,1970.0,0.0121999999999999
DE,1975.0,0.011
DE,1978.0,0.022
DE,1982.0,0.05
DE,1987.0,0.038
DE,1996.0,0.027
DE,1997.0,0.0208
DE,1998.0,0.1055
DE,1999.0,0.015
DE,2005.0,0.0813
DE,2006.0,0.0714
DE,2007.0,0.02402
DE,2008.0,0.038
DE,2009.0,0.1714
DE,2010.0,0.0305
DE,2011.0,0.0414
DE,2012.0,0.0015
DE,2013.0,0.0186999999999999
DK,1970.0,0.0625
DK,1975.0,0.0163
DK,1978.0,0.0214
DK,1980.0,0.0329
DK,1983.0,0.0067
DK,1984.0,0.003
DK,1985.0,0.0029
DK,1989.0,0.0074
DK,1991.0,0.0029
DK,1992.0,0.007
DK,1993.0,0.0387999999999999
DK,1996.0,0.0335
DK,1999.0,0.0046
DK,2003.0,0.0183
DK,2006.0,0.0179
DK,2017.0,0.063
EE,2013.0,0.017
ES,2004.0,0.0565
ES,2006.0,0.031
ES,2020.0,0.024
FI,1999.0,0.033
FI,2002.0,0.03
FI,2007.0,0.0655
FI,2009.0,0.0085
FI,2012.0,0.105
FI,2014.0,0.078
FR,1968.0,0.01097
FR,1969.0,0.055
FR,1975.0,0.009
FR,1977.0,0.0107
FR,1978.0,0.0026
FR,1984.0,0.0516
FR,1985.0,0.0304799999999999
FR,1987.0,0.0029
FR,1989.0,0.008
FR,1990.0,0.01315
FR,1991.0,0.0130999999999999
FR,1992.0,0.0070999999999999
FR,1993.0,0.0078
FR,1994.0,0.0217
FR,1995.0,0.02147
FR,1997.0,0.0396
FR,1998.0,0.0654
FR,1999.0,0.03034
FR,2000.0,0.0665999999999999
FR,2001.0,0.0141999999999999
FR,2002.0,0.00688
FR,2003.0,0.0575
FR,2004.0,0.0352
FR,2005.0,0.023
FR,2006.0,0.0022
FR,2007.0,0.06926
FR,2009.0,0.0095
FR,2010.0,0.00364
FR,2012.0,0.0004
FR,2013.0,0.0075
FR,2014.0,0.0173
FR,2017.0,0.012
FR,2019.0,0.0425
IE,2017.0,0.0615
IT,1962.0,0.0179
IT,1975.0,0.0105
IT,1976.0,0.0103
IT,1980.0,0.019
IT,1994.0,0.013
IT,2000.0,0.04325
IT,2001.0,0.0149
IT,2003.0,0.02
IT,2005.0,0.022
IT,2012.0,0.0168
IT,2013.0,0.0825
LT,2013.0,0.02
LT,2020.0,0.024
LT,2021.0,0.019
NL,1972.0,0.1
NL,1989.0,0.032
NL,1996.0,0.068
NL,2007.0,0.057
NL,2008.0,0.12
NL,2011.0,0.017
NO,1985.0,0.019
NO,2000.0,0.001
NO,2002.0,0.0059
NO,2008.0,0.01025
NO,2010.0,0.0542
PL,2007.0,0.0021
PL,2015.0,0.0238999999999999
PL,2016.0,0.018
PL,2018.0,0.0075
SE,1970.0,0.105
SE,1994.0,0.19
SE,2010.0,0.0024
SE,2013.0,0.02
SE,2014.0,0.167
SE,2015.0,0.02
UK,1970.0,0.05
UK,1972.0,0.02
UK,1992.0,0.0174
UK,1994.0,0.035
UK,1996.0,0.03
UK,1998.0,0.0487999999999999
UK,1999.0,0.0021
UK,2000.0,0.0083
UK,2001.0,0.0211
UK,2002.0,0.014
UK,2003.0,0.008
UK,2004.0,0.0312
UK,2005.0,0.019
UK,2006.0,0.0213
UK,2008.0,0.0038
UK,2009.0,0.0216
UK,2010.0,0.083
UK,2011.0,0.1435
UK,2012.0,0.0183
UK,2013.0,0.0091
UK,2014.0,0.1535
UK,2015.0,0.1488499999999999
UK,2016.0,0.0698
UK,2017.0,0.1025
UK,2018.0,0.0915
UK,2019.0,0.1515999999999999
UK,2020.0,0.0635
