node,year_construction,capacity_existing
AT,1997.0,0.0068
AT,1998.0,0.0012
AT,1999.0,0.00075
AT,2000.0,0.02259
AT,2001.0,0.00762
AT,2002.0,0.0453
AT,2003.0,0.10715
AT,2004.0,0.2027
AT,2005.0,0.20775
AT,2006.0,0.1403
AT,2007.0,0.0195
AT,2008.0,0.014
AT,2010.0,0.0175
AT,2012.0,0.14365
AT,2013.0,0.2440999999999999
AT,2014.0,0.3913
AT,2015.0,0.32355
AT,2016.0,0.24677
AT,2017.0,0.1928
AT,2018.0,0.1173999999999999
AT,2019.0,0.2115
AT,2020.0,0.02195
AT,2021.0,0.18535
BE,2000.0,0.006
BE,2001.0,0.006
BE,2002.0,0.0177599999999999
BE,2003.0,0.0203999999999999
BE,2004.0,0.0282
BE,2005.0,0.0711
BE,2006.0,0.0412999999999999
BE,2007.0,0.09706
BE,2008.0,0.081
BE,2009.0,0.1449
BE,2010.0,0.17403
BE,2011.0,0.1566
BE,2012.0,0.049
BE,2013.0,0.07325
BE,2014.0,0.0993
BE,2015.0,0.2741
BE,2016.0,0.15525
BE,2017.0,0.2494499999999999
BE,2018.0,0.1520999999999999
BE,2019.0,0.13165
BE,2020.0,0.1699
BE,2021.0,0.20115
BG,2004.0,0.0086
BG,2005.0,0.0016
BG,2006.0,0.0060999999999999
BG,2007.0,0.0055
BG,2008.0,0.0532
BG,2009.0,0.258
BG,2010.0,0.0980999999999999
BG,2011.0,0.1616999999999999
BG,2012.0,0.0783
BG,2013.0,0.102
BG,2014.0,0.105
CH,1994.0,0.00015
CH,2004.0,0.0006
CH,2005.0,0.00385
CH,2008.0,0.002
CH,2009.0,0.004
CH,2010.0,0.0269
CH,2011.0,0.0092
CH,2012.0,0.006
CH,2013.0,0.0103
CH,2016.0,0.0132
CH,2020.0,0.01175
CZ,1994.0,0.00345
CZ,2001.0,0.002315
CZ,2002.0,0.0001
CZ,2003.0,0.0075
CZ,2004.0,0.0020499999999999
CZ,2005.0,0.01155
CZ,2006.0,0.02666
CZ,2007.0,0.0592
CZ,2008.0,0.0362
CZ,2009.0,0.03375
CZ,2010.0,0.03
CZ,2011.0,0.0018
CZ,2012.0,0.0299
CZ,2013.0,0.0198999999999999
CZ,2014.0,0.0121
CZ,2017.0,0.026
DE,1991.0,0.004
DE,1992.0,0.003175
DE,1993.0,0.0575
DE,1994.0,0.0927
DE,1995.0,0.14712
DE,1996.0,0.1117099999999999
DE,1997.0,0.26641
DE,1998.0,0.44144
DE,1999.0,1.27716
DE,2000.0,1.48307
DE,2001.0,2.763816
DE,2002.0,2.9381
DE,2003.0,3.04928
DE,2004.0,2.0497
DE,2005.0,1.9832
DE,2006.0,2.6417
DE,2007.0,1.73876
DE,2008.0,1.23492
DE,2009.0,2.2455
DE,2010.0,1.43238
DE,2011.0,1.5794
DE,2012.0,1.77596
DE,2013.0,1.94895
DE,2014.0,4.25797
DE,2015.0,4.0974200000000005
DE,2016.0,4.50998
DE,2017.0,5.07811
DE,2018.0,2.66793
DE,2019.0,1.0257
DE,2020.0,1.38198
DE,2021.0,1.93001
DK,1994.0,0.0065
DK,1996.0,0.017475
DK,1998.0,0.0135749999999999
DK,1999.0,0.0236599999999999
DK,2000.0,0.03285
DK,2001.0,0.01485
DK,2002.0,0.0555
DK,2003.0,0.0017
DK,2005.0,0.0075
DK,2006.0,0.02375
DK,2008.0,0.0538
DK,2009.0,0.0639499999999999
DK,2010.0,0.1525
DK,2011.0,0.1899
DK,2012.0,0.1913
DK,2013.0,0.353
DK,2014.0,0.1325
DK,2015.0,0.23225
DK,2016.0,0.2387
DK,2017.0,0.2356
DK,2018.0,0.3433
DK,2019.0,0.0168
DK,2020.0,0.20035
DK,2021.0,0.1218
EE,2002.0,0.00225
EE,2005.0,0.0311
EE,2007.0,0.02635
EE,2008.0,0.0207
EE,2009.0,0.064
EE,2010.0,0.0069
EE,2011.0,0.033
EE,2012.0,0.1256
EE,2013.0,0.0105
EE,2014.0,0.003
EE,2015.0,0.018
EE,2016.0,0.00705
EL,1992.0,0.01
EL,1998.0,0.0101999999999999
EL,1999.0,0.024
EL,2000.0,0.0948
EL,2001.0,0.18497
EL,2002.0,0.02499
EL,2003.0,0.1552
EL,2004.0,0.061
EL,2005.0,0.06519
EL,2006.0,0.2701
EL,2007.0,0.13425
EL,2008.0,0.10725
EL,2009.0,0.30055
EL,2010.0,0.23005
EL,2011.0,0.2418499999999999
EL,2012.0,0.1328
EL,2013.0,0.0322
EL,2014.0,0.03785
EL,2015.0,0.3211
EL,2016.0,0.1941
EL,2017.0,0.2392
EL,2018.0,0.3297
EL,2019.0,0.3722899999999999
EL,2020.0,0.8246800000000001
EL,2021.0,0.36575
ES,1992.0,0.0075
ES,1994.0,0.002
ES,1995.0,0.03875
ES,1996.0,0.0433
ES,1997.0,0.22659
ES,1998.0,0.2707
ES,1999.0,0.40014
ES,2000.0,0.867355
ES,2001.0,0.98506
ES,2002.0,1.028405
