time,AT,BE,BG,CH,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,SE,SI,SK,UK
0,0.06281989050718344,0.1335756897906581,0.07031159812008511,0.036071239581415795,0.10452822003594703,0.36333441449558834,0.9383712838108144,0.9457702642577617,0.399572163077494,0.05220415105038522,0.5303413490693154,0.10160060343664575,0.15802378329840008,0.08997925201218891,0.19775061216731554,0.21878861917055048,0.557754703866847,0.1009602378052497,0.8885464447625979,0.5072589694689337,0.3898847424102935,0.3582601941709994,0.04759709044678459,0.053285959077434226,0.9210913839254864,0.07100056602011703,0.044255301557626935,0.445701284068353
1,0.06393149127813236,0.1405133943283452,0.08145783953534858,0.03229005070910898,0.11829165429175552,0.39743119438831487,0.9666097194108796,0.9754428398406114,0.41391208474698626,0.05359235549655025,0.5024802085882304,0.10079650251970128,0.14353763177515172,0.07511654598555528,0.17269933711370017,0.22602851110203928,0.6367755620611959,0.10375314193719062,0.9255583762394142,0.5545780656990624,0.3887500673678416,0.3999897913673869,0.04430861920061518,0.05508760260781871,0.9108910540300228,0.05012795467347172,0.03013799413526831,0.41838194679740637
2,0.07411854854113459,0.1580742954311782,0.0874198840896125,0.031179692403869242,0.14365643618000049,0.44541636634968473,0.9925502542416813,0.958643387823526,0.41703364643709295,0.05545161037014101,0.46642376728693935,0.10207236339986063,0.12452302277005936,0.0546668479205026,0.14968722116659464,0.22970413929452965,0.6932455673981543,0.11830502618277879,0.936082415954663,0.5957990200141969,0.4115063897253608,0.4451642947417159,0.04538395822763789,0.05636860344406484,0.9013781059432883,0.033081086665130204,0.022896125260170222,0.3932706272991991
3,0.0884541008016101,0.17774686265718406,0.09329299942977165,0.03013246624157129,0.17552234524400906,0.48775613585813404,0.9968790982697796,0.9420737742598069,0.4258528230739865,0.05638303624711135,0.4245609437217814,0.10502212984873015,0.10385409480402494,0.043437895659187736,0.13634657750080129,0.2352707125729386,0.7497309625270127,0.13231371796604677,0.9393474904381879,0.6265045329156268,0.43749998518991173,0.4957086789659552,0.049465620251168865,0.055954762612572505,0.8963861887044414,0.018800278894920412,0.02745942595859114,0.37962581924421324
4,0.11180522013950113,0.21036154550536404,0.09574681249932124,0.025077932625982065,0.2123268507124264,0.5333814850775076,0.9960243457002232,0.9053691058276504,0.4350196942902189,0.0555072129667413,0.38855764010636556,0.11320630015626579,0.08557855692043986,0.03617727833138866,0.12209427967463478,0.2336733885942686,0.7858558485310906,0.1480208598031707,0.9228053237864521,0.6728849412568512,0.4653436261042182,0.5379320707313693,0.04500247028990675,0.05122671258525223,0.8995050359530806,0.012311137336327967,0.04283253182254362,0.36787717867517244
5,0.13906262133551686,0.22797101242022338,0.0948909039258864,0.02097374456412525,0.24688026108683161,0.568847452841856,0.9982818392163122,0.8640357173019955,0.4415065177569597,0.05429498428170458,0.3340098559769935,0.11622779794026535,0.07507888941269711,0.032992081808754715,0.1125769284221309,0.22249393801147588,0.8069471404872838,0.17550871261723813,0.9132845131004496,0.696087886984484,0.4940558891087475,0.5771616149253526,0.03959839289267982,0.04534757671289588,0.9008885150874121,0.015349216334372582,0.06680198384170088,0.3557402589277628
6,0.16554109451700116,0.2321026788655108,0.09228725808199795,0.01942255042895435,0.2851657488750426,0.6054416437329826,0.9999999999999997,0.8529816746393278,0.44520654504811646,0.052914759698596193,0.29987552758748776,0.11529843818531883,0.0668313336884228,0.04930467194202145,0.0992743044439905,0.2117228639198492,0.8101105802398506,0.19313802980356828,0.876963971091627,0.6719835602051422,0.5334368651921505,0.6306854387821293,0.037497936408722086,0.038051023100317286,0.8969564577291732,0.02436443749881142,0.09087067291483769,0.3436535493431485
7,0.18695042156909797,0.22813974598866693,0.08640112519114715,0.02031494343837173,0.31210480949773795,0.6269455306236393,0.9999999999999997,0.8725332082913648,0.437338914653256,0.05305218601730214,0.266634382102333,0.11512131528499575,0.061402485426516565,0.07979064844753837,0.08525358265485974,0.20217533822929046,0.8400253430545652,0.19905975263437167,0.8965267878522165,0.6063498010064498,0.5848459291113446,0.6826549964151611,0.04146518660089715,0.029595981713839814,0.893627963958809,0.03388977963035125,0.10529564143933419,0.33204482435651794
8,0.21028900263781014,0.2347291983100545,0.07735016478374437,0.0228540777640259,0.3389258334945334,0.6343486470922993,0.999175788193839,0.8802373479169849,0.42260477488483345,0.05289943174166021,0.23551292031900517,0.11220862930071851,0.058274709391982434,0.10443199459877098,0.07577883303372782,0.19169567253347697,0.8805281831551145,0.19969458668996246,0.9127449136072855,0.5498370356346011,0.6285281161078072,0.7424361257854386,0.04579515926034145,0.024496513627662107,0.8928340554029194,0.04090505380055739,0.11515221818232722,0.31895441348661685
9,0.2299103952239383,0.23916704094109342,0.0887625623532037,0.025539658826812098,0.38381597469199097,0.6301137128711788,0.9986812249543429,0.8578558689140254,0.4134442673405405,0.05129576520754781,0.2159961866448989,0.10482204525633874,0.049961323842638884,0.10688174812539934,0.06781120060766484,0.19002234300428564,0.8914256235646038,0.19635291853680875,0.9279299450590199,0.5453932499104819,0.6561258804588324,0.8026401546096323,0.04311799266105645,0.022072836050999883,0.8942444507128408,0.04158899877944741,0.12058506481550353,0.29879509057686243
