node,year_construction,capacity_existing
AT,2010,0.0005414663761673219
AT,2013,0.00018048879205577394
AT,2015,0.0012724459839932064
AT,2016,0.00028156251560700713
AT,2017,0.0011822015879653196
AT,2018,0.008708584216691094
AT,2019,0.009683223693792273
AT,2020,0.03555138210469447
AT,2021,0.020325528730810522
BE,2010,0.0007980280893757264
BE,2013,0.00026600936312524216
BE,2015,0.0018753660100329574
BE,2016,0.00041497460647537743
BE,2017,0.0017423613284703362
BE,2018,0.012834951770792934
BE,2019,0.014271402331669243
BE,2020,0.05239660814489545
BE,2021,0.029956325217113403
BG,2021,0.0008561511565986252
CH,2010,0.0005149023637513131
CH,2013,0.00017163412125043769
CH,2015,0.0012100205548155859
CH,2016,0.0002677492291506826
CH,2017,0.001124203494190367
CH,2018,0.00828134635033362
CH,2019,0.009208170605085985
CH,2020,0.033807252834249166
CH,2021,0.019328370603672547
CZ,2021,0.00153531162764727
DE,2009,0.0013
DE,2012,0.00131
DE,2013,0.03152
DE,2014,0.05683
DE,2015,0.08335000000000001
DE,2016,0.27506
DE,2017,0.25664
DE,2018,0.34752999999999995
DE,2019,0.347
DE,2020,0.678
DE,2021,0.93
DK,2006,1.2009028790334349e-05
DK,2011,4.003009596778117e-06
DK,2021,0.0036507447522616428
EL,2021,0.006900000000000001
ES,2005,0.000830599078061381
ES,2012,0.0024087373263780056
ES,2013,0.001794094008612583
ES,2016,0.0036878599065925323
ES,2017,0.0014120184327043477
ES,2018,0.000830599078061381
ES,2019,0.0041529953903069045
ES,2020,0.005814193546429668
ES,2021,0.04511089909633352
FI,2006,2.939394929531894e-05
FI,2011,9.797983098439649e-06
FI,2021,0.008935760585776959
FR,2009,0.001
FR,2012,0.003800000000000001
FR,2013,0.002
FR,2014,0.006109999999999999
FR,2015,0.009550000000000001
FR,2016,0.009800000000000001
FR,2017,0.0218
FR,2018,0.012
FR,2019,0.033
FR,2020,0.027
FR,2021,0.1913652
HU,2021,0.0010268101866287163
IE,2006,1.0304563472323976e-05
IE,2011,3.434854490774659e-06
IE,2021,0.0031325872955864894
IT,2011,0.001
IT,2012,0.00248
IT,2013,0.00031000000000000005
IT,2014,0.04401000000000001
IT,2015,0.057
IT,2016,0.012
IT,2017,0.0215
IT,2018,0.035
IT,2019,0.049
IT,2020,0.065
IT,2021,0.2184
LT,2006,4.674086783841443e-06
LT,2011,1.558028927947148e-06
LT,2021,0.0014209223822877989
LU,2010,4.704952518926758e-05
LU,2013,1.5683175063089193e-05
LU,2015,0.00011056638419477884
LU,2016,2.4465753098419123e-05
LU,2017,0.00010272479666323424
LU,2018,0.0007567131967940536
LU,2019,0.0008414023421347354
LU,2020,0.003089158849876978
LU,2021,0.0017661419399197143
LV,2006,2.616899037840058e-06
LV,2011,8.722996792800193e-07
LV,2021,0.0007955373075033778
NL,2010,0.0010985536455163716
NL,2013,0.0003661845485054572
NL,2015,0.0025816010669634736
NL,2016,0.0005712478956685128
NL,2017,0.002398508792710745
NL,2018,0.01766840446538831
NL,2019,0.01964580102731778
NL,2020,0.07212839454723398
NL,2021,0.04123743350848386
NO,2006,4.386738552120881e-05
NO,2011,1.4622461840402938e-05
NO,2021,0.01333568519844748
PL,2021,0.004457404856489855
PT,2005,0.00016940092193861909
PT,2012,0.0004912626736219953
PT,2013,0.00036590599138741723
PT,2016,0.0007521400934074688
PT,2017,0.00028798156729565244
PT,2018,0.00016940092193861909
PT,2019,0.0008470046096930954
PT,2020,0.0011858064535703336
PT,2021,0.009200380903666483
RO,2021,0.0016411313700801242
SE,2006,4.713408709913243e-05
SE,2011,1.5711362366377477e-05
SE,2021,0.01432876247813626
SK,2021,0.0007330922810005469
UK,2011,0.0005
UK,2012,0.0005
UK,2013,0.011210000000000001
UK,2014,0.0065
UK,2015,0.00049
UK,2016,0.033769999999999994
UK,2017,0.250233834556
UK,2018,0.21880000000000002
UK,2019,0.4938
UK,2020,0.29368
UK,2021,0.4968936
