node,year_construction,capacity_existing_energy
AT,1974.0,4502.1038571475365
AT,1977.0,20642.1063786213
AT,1982.0,12155.879446299105
AT,2007.0,29851.914149699463
AT,2011.0,20783.916679161426
AT,2014.0,3241.2361323451646
BE,1985.0,8185.328823237492
BG,1974.0,6258.545802094563
CZ,1965.0,1683.75
CZ,1975.0,328.8801525
CZ,1983.0,4882.875
CZ,1989.0,3407.9594906029997
CZ,1998.0,673.5
CZ,2000.0,4414.250629671234
CZ,2001.0,2670.967265787871
CZ,2016.0,4692.634802490992
DE,1960.0,891.8957400368596
DE,1969.0,3019.534031348838
DE,1970.0,304.1452033709019
DE,1971.0,276.25089293177064
DE,1973.0,6058.083420960539
DE,1974.0,9823.961469827578
DE,1975.0,10208.3165558487
DE,1976.0,20630.02204001187
DE,1977.0,2472.445491739347
DE,1979.0,6088.372358149841
DE,1980.0,9343.199843085244
DE,1982.0,7744.891105408569
DE,1983.0,1646.652643939733
DE,1985.0,1980.6202412876055
DE,1986.0,3404.792255384069
DE,1991.0,340.38056450521736
DE,1992.0,2888.7950518008015
DE,1993.0,59362.37044970991
DE,1996.0,17729.48632526147
DE,1997.0,9495.828461430046
DE,2000.0,4492.03684113697
DE,2001.0,3250.9632301230076
DE,2002.0,4335.165798365001
DE,2007.0,4585.567500601013
DE,2008.0,2259.8309652150742
DE,2012.0,29483.66583640874
DE,2013.0,7108.034136167648
DE,2020.0,6285.694424529677
DK,1987.0,151.01526
DK,1994.0,4840.0
ES,1991.0,9916.810016598303
ES,1993.0,18692.11672193349
ES,2012.0,3218.631658007959
FR,1956.0,13028.343833726272
FR,1957.0,370.52496944000006
FR,1965.0,6733.92
FR,1968.0,3407.4130026668677
FR,1970.0,19896.487805488297
FR,1976.0,12934.54370760244
FR,1981.0,15317.647824
FR,1982.0,10073.993802666868
FR,1993.0,20340.818770905014
HR,1988.0,5512.235182901774
HR,2020.0,598.072533407064
HU,1978.0,2949.630563402511
HU,1979.0,3581.7651608228243
HU,1981.0,17276.69120669381
HU,1996.0,22859.98430215636
HU,2009.0,19965.546395186902
IT,1964.0,2114.2056166875
IT,1965.0,27507.899999999998
IT,1967.0,16791.280625
IT,1975.0,37777.515999999996
IT,1982.0,40448.074625
IT,1984.0,1289.9762362908336
IT,1985.0,13077.714125
IT,1986.0,20000.535625
IT,1994.0,6183.375499243844
IT,2013.0,2590.640933540537
IT,2016.0,3479.799883873729
IT,2017.0,24401.958038175697
NL,1997.0,98353.07532725125
NL,2011.0,2799.066308661999
PL,1979.0,1715.4462783347215
PL,1982.0,3994.456061206015
PL,1987.0,5547.85564056391
PL,1995.0,13018.967903189976
PL,1997.0,6533.549316506944
PL,2009.0,340.26847928791983
PL,2010.0,2268.456528586132
PL,2014.0,1308.702159904756
PT,2003.0,3668.3787896698946
RO,1979.0,3874.0815557297115
RO,1983.0,13906.636715207289
RO,1992.0,535.8426013463254
RO,1995.0,8311.060462235664
RO,2002.0,3126.2605330259257
RO,2004.0,1571.8512113841443
SE,2004.0,3673.6133484451043
SK,1977.0,50704.86119686535
SK,2001.0,1122.6581609195396
SK,2021.0,3561.2317974509597
UK,1979.0,2566.429388076296
UK,2000.0,1213.5378780722758
UK,2001.0,532.2534552948579
UK,2005.0,3015.554530989648
UK,2009.0,2014.7244883242993
UK,2012.0,1760.9847501819143
UK,2014.0,2533.526447203523
UK,2015.0,212.90138211794314
