node,year_construction,capacity_existing
AT,1943.0,0.198
AT,1956.0,0.1128
AT,1957.0,0.238
AT,1969.0,0.247
AT,1970.0,0.231
AT,1972.0,0.231
AT,1975.0,0.12
AT,1978.0,0.73
AT,1979.0,0.85
AT,1981.0,0.289
AT,1986.0,0.36
AT,1988.0,0.36
AT,2008.0,0.525
AT,2009.0,0.14
AT,2011.0,0.775
AT,2014.0,0.43
AT,2016.0,0.43
AT,2017.0,0.012
AT,2018.0,0.36
BE,1969.0,0.47400000000000003
BE,1978.0,0.6900000000000001
BE,1981.0,0.14400000000000002
BG,1995.0,1.399
CH,1942.0,0.01093067988996125
CH,1955.0,0.07198252610462286
CH,1958.0,0.09464369173015227
CH,1966.0,0.09864272095818688
CH,1970.0,0.07198252610462286
CH,1976.0,0.07344883682156889
CH,1977.0,0.522406518155587
CH,1981.0,0.517207780159142
CH,1987.0,0.0
CH,1990.0,0.003132572895293773
CH,1992.0,0.17995631526155717
CH,1993.0,0.006665048713391006
CH,2010.0,0.18382204351532394
CH,2012.0,0.08829856535500404
CH,2016.0,2.79398842065351
CH,2017.0,0.2399417536820762
CZ,1978.0,0.4985806381876037
CZ,1996.0,0.6739289134823966
DE,1926.0,0.049744716831566886
DE,1931.0,0.28342920055195087
DE,1932.0,0.09231693960834972
DE,1943.0,0.25450785355685385
DE,1951.0,0.17352808197058217
DE,1955.0,0.11452853410058425
DE,1958.0,0.40131261090396636
DE,1959.0,0.0691798620122721
DE,1960.0,0.05090157071137077
DE,1964.0,0.35862470273920316
DE,1965.0,0.36764816300167347
DE,1966.0,0.4164673967293972
DE,1967.0,0.09220125422036934
DE,1969.0,0.15964583541293562
DE,1974.0,0.7450138985936995
DE,1975.0,1.052737030621532
DE,1976.0,0.526368515310766
DE,1979.0,1.2091436751710167
DE,1983.0,0.055528986230586296
DE,1989.0,0.1908808901676404
DE,2004.0,1.2170102815536832
EL,1985.0,0.315
EL,1996.0,0.384
ES,1954.0,0.25679376193303066
ES,1966.0,0.17121574778186022
ES,1967.0,0.07739644545702505
ES,1969.0,0.10779366053235356
ES,1970.0,0.6608796481524861
ES,1973.0,0.497702142313925
ES,1974.0,0.11097073684278082
ES,1975.0,0.21676976675918946
ES,1976.0,0.28382279836347013
ES,1977.0,0.6327517732988913
ES,1978.0,0.15885381552136316
ES,1982.0,0.8406113937137998
ES,1983.0,0.21725946649124778
ES,1985.0,0.6634595296677203
ES,1986.0,0.6464036463170055
ES,1989.0,1.8036238326503762
ES,1994.0,0.09796383420347522
FR,1976.0,0.852132901198974
FR,1979.0,0.5114906647048296
FR,1983.0,0.9597041337760721
FR,1986.0,0.7828443719801959
FR,2017.0,1.7928538762849697
FR,2019.0,0.4049740520549579
HR,1979.0,0.5187
IE,1974.0,0.292
IT,1973.0,1.7145994832041342
IT,1982.0,2.038658785529716
IT,1984.0,1.6288695090439276
IT,1989.0,0.8572997416020671
IT,1991.0,1.7231724806201547
LT,1992.0,0.9
LU,1962.0,0.2
LU,1963.0,0.4
LU,1964.0,0.3
LU,1975.0,0.196
LU,2015.0,0.195
NO,1955.0,0.0107
NO,1962.0,0.033
NO,1969.0,0.0031
NO,1973.0,0.011178
NO,1974.0,0.035
NO,1975.0,0.058159999999999996
NO,1979.0,0.47
NO,1981.0,0.02
NO,1983.0,0.002
NO,1985.0,0.6495
NO,1986.0,0.0092
NO,1987.0,0.013699999999999999
NO,1988.0,0.006
NO,1994.0,0.0496
NO,1995.0,0.0002
NO,1996.0,0.0003
NO,1999.0,0.0002
NO,2001.0,0.0005
NO,2004.0,0.00066
NO,2005.0,0.056
NO,2007.0,0.005
NO,2013.0,0.0036
NO,2015.0,0.0007099999999999999
NO,2016.0,0.00098
PL,1936.0,0.085
PL,1968.0,0.198
PL,1971.0,0.167
PL,1979.0,0.54
PL,1983.0,0.716
PT,1953.0,0.5190187764990914
PT,1972.0,0.33736220472440936
PT,1981.0,0.7926832222895215
PT,2004.0,1.6467050272562083
PT,2012.0,0.5992307692307692
SE,1979.0,0.092
SI,2009.0,0.185
SK,1954.0,0.024115230224321133
SK,1972.0,0.06028807556080283
SK,1976.0,0.19895064935064935
SK,1982.0,0.7379260448642267
UK,1961.0,0.11562189054726368
UK,1974.0,0.361318407960199
UK,1984.0,2.428059701492537
