node,year_construction,capacity_existing_energy
AT,1943.0,3.5870536441700795
AT,1956.0,2.0435335912241666
AT,1957.0,4.311710946022621
AT,1969.0,4.474758838939442
AT,1970.0,4.184895918198426
AT,1972.0,4.184895918198426
AT,1975.0,2.173971905557624
AT,1978.0,13.224995758808879
AT,1979.0,15.398967664366502
AT,1981.0,5.235649005884611
AT,1986.0,6.521915716672871
AT,1988.0,6.521915716672871
AT,2008.0,9.511127086814605
AT,2009.0,2.5363005564838947
AT,2011.0,14.040235223392989
AT,2014.0,7.790065994914818
AT,2016.0,7.790065994914818
AT,2017.0,0.2173971905557624
AT,2018.0,6.521915716672871
BE,1969.0,2.0692201834862387
BE,1978.0,3.0121559633027526
BE,1981.0,0.6286238532110092
BG,1995.0,25.344889132292632
CH,1942.0,0.1980249249118288
CH,1955.0,1.3040665786876529
CH,1958.0,1.7146060571633954
CH,1966.0,1.7870542004238208
CH,1970.0,1.3040665786876529
CH,1976.0,1.3306308978831423
CH,1977.0,9.464142447920208
CH,1981.0,9.369959861681656
CH,1987.0,0.0
CH,1990.0,0.05675104555399972
CH,1992.0,3.2601664467191327
CH,1993.0,0.12074690543404194
CH,2010.0,3.330199651870877
CH,2012.0,1.5996550031901875
CH,2016.0,50.61710275795039
CH,2017.0,4.3468885956255106
CZ,1978.0,0.978018018018018
CZ,1996.0,1.3219819819819822
DE,1926.0,0.2517180940078095
DE,1931.0,1.434207744928217
DE,1932.0,0.46714195120519064
DE,1943.0,1.287860015853909
DE,1951.0,0.878086374445847
DE,1955.0,0.5795370071342592
DE,1958.0,2.0307210886350955
DE,1959.0,0.35006376794574434
DE,1960.0,0.25757200317078177
DE,1964.0,1.814711840521417
DE,1965.0,1.8603723319926015
DE,1966.0,2.107407298670033
DE,1967.0,0.4665565602888935
DE,1969.0,0.8078394644901794
DE,1974.0,3.76991750095417
DE,1975.0,5.327057338304805
DE,1976.0,2.6635286691524027
DE,1979.0,6.118505857138663
DE,1983.0,0.28098763982267105
DE,1989.0,0.9658950118904319
DE,2004.0,6.158312439446875
EL,1985.0,2.316309012875536
EL,1996.0,2.8236909871244635
ES,1954.0,4.652186866373846
ES,1966.0,3.1018185455567013
ES,1967.0,1.4021474834466288
ES,1969.0,1.9528365799546026
ES,1970.0,11.972781566985935
ES,1973.0,9.01658728938596
ES,1974.0,2.0103938686269487
ES,1975.0,3.9270948575729734
ES,1976.0,5.141856581657754
ES,1977.0,11.463204819529636
ES,1978.0,2.8778644336173094
ES,1982.0,15.22887961187866
ES,1983.0,3.9359664697367553
ES,1985.0,12.019519816434157
ES,1986.0,11.71052805619314
ES,1989.0,32.67522950313403
ES,1994.0,1.7747551943255013
FR,1976.0,13.283730141371562
FR,1979.0,7.973526136838127
FR,1983.0,14.96063666911896
FR,1986.0,12.203605054381324
FR,2017.0,27.948442129123332
FR,2019.0,6.313059869166683
HR,1979.0,9.39699356177283
IE,1974.0,1.8
IT,1973.0,31.06242588141174
IT,1982.0,36.93322437299856
IT,1984.0,29.509304587341152
IT,1989.0,15.53121294070587
IT,1991.0,31.217738010818795
LT,1992.0,10.8
LU,1962.0,0.2
LU,1963.0,0.4
LU,1964.0,0.3
LU,1975.0,0.196
LU,2015.0,0.195
NO,1955.0,0.19384582824555477
NO,1962.0,0.5978422740283466
NO,1969.0,0.056160940893571945
NO,1973.0,0.20250548300269267
NO,1974.0,0.6340751391209737
NO,1975.0,1.053651716893595
NO,1979.0,8.51472329676736
NO,1981.0,0.36232865092627065
NO,1983.0,0.03623286509262706
NO,1985.0,11.766622938830638
NO,1986.0,0.1666711794260845
NO,1987.0,0.24819512588449535
NO,1988.0,0.1086985952778812
NO,1994.0,0.8985750542971511
NO,1995.0,0.0036232865092627065
NO,1996.0,0.005434929763894059
NO,1999.0,0.0036232865092627065
NO,2001.0,0.009058216273156765
NO,2004.0,0.01195684548056693
NO,2005.0,1.014520222593558
NO,2007.0,0.09058216273156766
NO,2013.0,0.06521915716672871
NO,2015.0,0.012862667107882607
NO,2016.0,0.01775410389538726
PL,1936.0,0.7817409144196952
PL,1968.0,1.8209964830011722
PL,1971.0,1.5358909730363424
PL,1979.0,4.966354044548653
PL,1983.0,6.585017584994138
PT,1953.0,9.402768654715969
PT,1972.0,6.111799625565379
PT,1981.0,14.36059212720257
PT,2004.0,29.83242054996248
PT,2012.0,10.855923810444802
SE,1979.0,1.666711794260845
SI,2009.0,0.0
SK,1954.0,0.0
SK,1972.0,0.0
SK,1976.0,0.0
SK,1982.0,0.0
UK,1961.0,1.012139303482587
UK,1974.0,3.162935323383085
UK,1984.0,21.25492537313433
