edge,year_construction,capacity_existing
AT-CH,2010,1.2
AT-CZ,2010,0.9
AT-DE,2010,4.82
AT-HU,2010,0.3
AT-IT,2010,0.344
AT-SI,2010,0.95
AT-SK,2010,0.0
BE-DE,2010,0.4
BE-FR,2010,0.65
BE-LU,2010,0.4
BE-NL,2010,0.95
BE-NO,2010,0.0
BE-UK,2010,0.75
BG-EL,2010,0.3
BG-RO,2010,0.5
CH-AT,2010,1.2
CH-DE,2010,0.6
CH-FR,2010,1.9
CH-IT,2010,2.576
CZ-AT,2010,0.9
CZ-DE,2010,1.7
CZ-PL,2010,0.8
CZ-SK,2010,0.7
DE-AT,2010,4.82
DE-BE,2010,0.4
DE-CH,2010,0.325
DE-CZ,2010,1.32
DE-DK,2010,1.85
DE-FR,2010,1.2
DE-LU,2010,0.0
DE-NL,2010,1.468
DE-NO,2010,1.444
DE-PL,2010,2.147
DE-SE,2010,0.6
DE-UK,2010,0.0
DK-DE,2010,1.149
DK-NL,2010,0.7
DK-NO,2010,1.11
DK-SE,2010,2.415
DK-UK,2010,0.0
EE-FI,2010,1.016
EE-LV,2010,0.896
EL-BG,2010,0.3
EL-IT,2010,0.0
ES-FR,2010,1.85
ES-PT,2010,3.6
FI-EE,2010,1.016
FI-NO,2010,0.061
FI-SE,2010,2.3
FR-BE,2010,1.8
FR-CH,2010,2.385
FR-DE,2010,1.3
FR-ES,2010,2.0
FR-IT,2010,1.882
FR-LU,2010,1.3
FR-NO,2010,0.0
FR-UK,2010,2.514
HR-HU,2010,0.5
HR-SI,2010,0.6
HU-AT,2010,0.3
HU-HR,2010,0.6
HU-RO,2010,0.35
HU-SI,2010,0.0
HU-SK,2010,0.8
IE-UK,2010,0.987
IT-AT,2010,0.024
IT-CH,2010,1.81
IT-EL,2010,0.0
IT-FR,2010,0.995
IT-SI,2010,0.66
LT-LV,2010,0.904
LT-PL,2010,0.5
LT-SE,2010,0.7
LU-BE,2010,0.4
LU-DE,2010,0.0
LU-FR,2010,1.2
LV-EE,2010,0.679
LV-LT,2010,1.059
NL-BE,2010,0.95
NL-DE,2010,1.468
NL-DK,2010,0.7
NL-NO,2010,0.62
NL-UK,2010,1.016
NO-BE,2010,0.0
NO-DE,2010,1.444
NO-DK,2010,1.632
NO-FI,2010,0.135
NO-FR,2010,0.0
NO-NL,2010,0.49
NO-SE,2010,3.695
NO-UK,2010,1.4
PL-CZ,2010,0.8
PL-DE,2010,1.733
PL-LT,2010,0.35
PL-SE,2010,0.3
PL-SK,2010,0.6
PT-ES,2010,2.5
RO-BG,2010,0.5
RO-HU,2010,0.35
SE-DE,2010,0.615
SE-DK,2010,2.015
SE-FI,2010,2.7
SE-LT,2010,0.7
SE-NO,2010,3.995
SE-PL,2010,0.6
SI-AT,2010,0.95
SI-HR,2010,0.6
SI-HU,2010,0.0
SI-IT,2010,0.397
SK-AT,2010,0.0
SK-CZ,2010,0.6
SK-HU,2010,0.7
SK-PL,2010,0.6
UK-BE,2010,0.75
UK-DE,2010,0.0
UK-DK,2010,0.0
UK-FR,2010,2.514
UK-IE,2010,0.984
UK-NL,2010,1.016
UK-NO,2010,1.4
